id,gmc,c,cf,stom,blood,factc,horm,ct,gmt,t,alarm,doors,factt,gmm,pain,fm,m,som,factm
8146_23143,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
754_23143,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
6107_23144,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5661_23144,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
5385_23144,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
5156_23144,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
3921_23144,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0
4456_23144,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
5952_23144,1,1,1,0,0,0,0,The person precised that it's a drug contraceptive,1,0,0,1,0,1,0,1,0,0,0
7776_23144,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
8245_23144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8043_23144,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0
8645_23144,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3363_23144,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
9995_23144,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141_23144,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2875_23144,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
8072_23144,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1503_23144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7851_23144,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9948_23144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8732_23144,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1395_23144,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
8309_23144,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0
1754_23144,1,1,0,0,1,1,0,Pilule,1,1,1,1,0,1,1,0,1,0,1
7220_23144,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1
7148_23144,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3172_23144,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5266_23144,1,1,0,1,1,0,0,Pilule,1,1,0,0,0,1,1,0,0,0,0
